Geo Point,Geo Shape,Nom des sites,Nom des arrrêts
"46.8255667956565, 1.75928022042151","{""coordinates"": [1.75928022042151, 46.8255667956565], ""type"": ""Point""}",PESI,Village Olympique Châteauroux (OVC) - PFR-PARKING
"46.7964756470548, 1.71385211466963","{""coordinates"": [1.71385211466963, 46.7964756470548], ""type"": ""Point""}",Village Olympique Chateauroux,Village Olympique Châteauroux (OVC) - PSH-DEPOSE-MIN
"48.8547788360157, 2.29570024601156","{""coordinates"": [2.29570024601156, 48.8547788360157], ""type"": ""Point""}",Stade Tour Eiffel,Stade Tour Eiffel (EIF) - PSH-DEPOSE-MIN
"48.8471117362589, 2.24467183706432","{""coordinates"": [2.24467183706432, 48.8471117362589], ""type"": ""Point""}",Roland-G.-Parc des Princes,Stade Roland-Garros (RGA) PDP - PMR-Parking
"48.8687573585702, 2.32362129000708","{""coordinates"": [2.32362129000708, 48.8687573585702], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PMR-Parking
"48.7582302998899, 2.07558346569404","{""coordinates"": [2.07558346569404, 48.7582302998899], ""type"": ""Point""}",Le Golf National,
"45.4580107873231, 4.38636182917846","{""coordinates"": [4.38636182917846, 45.4580107873231], ""type"": ""Point""}",Stade Geoffroy-Guichard,
"48.8758454908004, 2.64156582101375","{""coordinates"": [2.64156582101375, 48.8758454908004], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne,
"48.9332331192169, 2.41607859796567","{""coordinates"": [2.41607859796567, 48.9332331192169], ""type"": ""Point""}",Site d'escalade du Bourget,
"48.8695691672167, 2.31146151016662","{""coordinates"": [2.31146151016662, 48.8695691672167], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PFR-PARKING
"48.9351061190621, 2.41924986433976","{""coordinates"": [2.41924986433976, 48.9351061190621], ""type"": ""Point""}",Site d'escalade du Bourget,Site d'escalade du Bourget (LBO) - PFR-PARKING
"48.9293655788884, 2.24633026991092","{""coordinates"": [2.24633026991092, 48.9293655788884], ""type"": ""Point""}",Stade Yves-du-Manoir,Stade Yves-du-Manoir (YDM) - PFR-navettes
"48.9247111299972, 2.35452597592943","{""coordinates"": [2.35452597592943, 48.9247111299972], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PFR-PARKING
"45.7625908410822, 4.9814452253451","{""coordinates"": [4.9814452253451, 45.7625908410822], ""type"": ""Point""}",Stade de Lyon,Stade de Lyon (LYO) - TS
"48.8688311387893, 2.32367493380262","{""coordinates"": [2.32367493380262, 48.8688311387893], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PFR-PARKING
"48.8701171071066, 2.31208256269581","{""coordinates"": [2.31208256269581, 48.8701171071066], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PSH-DEPOSE-MIN
"48.8368029631505, 2.38428692413708","{""coordinates"": [2.38428692413708, 48.8368029631505], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PMR-Parking
"48.9189982324289, 2.33557700972336","{""coordinates"": [2.33557700972336, 48.9189982324289], ""type"": ""Point""}",Village Olympique,Village Olympique et Paralympique - Parking OGER
"48.8633479535234, 2.2948970694377","{""coordinates"": [2.2948970694377, 48.8633479535234], ""type"": ""Point""}",Trocadéro - Parc des champions,TRO-PMR Parking
"48.8773882657266, 2.3580839936343","{""coordinates"": [2.3580839936343, 48.8773882657266], ""type"": ""Point""}",Paris Gare de l'Est rue d'Alsace,PARIS GARE DE L'EST Sortie rue d'Alsace PFR-navettes
"45.459854990764, 4.38807386127133","{""coordinates"": [4.38807386127133, 45.459854990764], ""type"": ""Point""}",Stade Geoffroy-Guichard,Stade Geoffroy-Guichard (STE) - PFR-navettes
"48.8989945611212, 2.36558882297646","{""coordinates"": [2.36558882297646, 48.8989945611212], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - PFR-navettes
"48.9403051460581, 2.4047415653143","{""coordinates"": [2.4047415653143, 48.9403051460581], ""type"": ""Point""}",La Courneuve,La Courneuve (lcs) - PFR-PARKING
"48.7562073669606, 2.07347467595449","{""coordinates"": [2.07347467595449, 48.7562073669606], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PMR-dépose-min
"46.8122005380339, 1.77802460996978","{""coordinates"": [1.77802460996978, 46.8122005380339], ""type"": ""Point""}",Centre National de Tir de Chateauroux,
"43.2589294282776, 5.37573100127344","{""coordinates"": [5.37573100127344, 43.2589294282776], ""type"": ""Point""}",Marina de Marseille,MAM
"48.8509566651843, 2.24941885390838","{""coordinates"": [2.24941885390838, 48.8509566651843], ""type"": ""Point""}",Stade Roland-Garros,
"48.8799173915825, 2.28300997061718","{""coordinates"": [2.28300997061718, 48.8799173915825], ""type"": ""Point""}",Hotel Hyatt Regency Paris Etoile,
"48.8555901664219, 2.30216541681956","{""coordinates"": [2.30216541681956, 48.8555901664219], ""type"": ""Point""}",Eiffel Champ-de-Mars,Eiffel Champ-de-Mars (ECM) CDM EIF - SPS
