Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Chateau de Versailles,"48.8180352515354, 2.08402943654583","{""coordinates"": [2.08402943654583, 48.8180352515354], ""type"": ""Point""}",Château de Versailles (VER) - CIR W
Chateau de Versailles,"48.8005180001458, 2.07617500002043","{""coordinates"": [2.07617500002043, 48.8005180001458], ""type"": ""Point""}",Château de Versailles (VER) - TAXI
Chateau de Versailles,"48.818018999902, 2.08400699955429","{""coordinates"": [2.08400699955429, 48.818018999902], ""type"": ""Point""}",Château de Versailles (VER) - PSH-TAXI
Chateau de Versailles,"48.81831721881, 2.0845006875833","{""coordinates"": [2.0845006875833, 48.81831721881], ""type"": ""Point""}",Château de Versailles (VER) - PMR-TAXI
Chateau de Versailles,"48.8156865197134, 2.07720871836732","{""coordinates"": [2.07720871836732, 48.8156865197134], ""type"": ""Point""}",Château de Versailles (VER) - CIR P
Chateau de Versailles,"48.8181355917539, 2.08421363273087","{""coordinates"": [2.08421363273087, 48.8181355917539], ""type"": ""Point""}",Château de Versailles (VER) VER VER - PFR-navettes
Chateau de Versailles,"48.8179945747914, 2.08397279237729","{""coordinates"": [2.08397279237729, 48.8179945747914], ""type"": ""Point""}",Château de Versailles (VER) VER - ENG
Chateau de Versailles,"48.8411064197724, 2.06131845055992","{""coordinates"": [2.06131845055992, 48.8411064197724], ""type"": ""Point""}",Gare de Noisy-le-Roi
Chatelet - Night 1,"48.861035853232, 2.34971324281162","{""coordinates"": [2.34971324281162, 48.861035853232], ""type"": ""Point""}",Châtelet - Night 1
Chatelet - Night 2,"48.8599523822641, 2.3527816901928","{""coordinates"": [2.3527816901928, 48.8599523822641], ""type"": ""Point""}",Châtelet - Night 2
Chaussée d'Antin - AND,"48.8731938542415, 2.3337035019397","{""coordinates"": [2.3337035019397, 48.8731938542415], ""type"": ""Point""}",Chaussée d'Antin
Clichy-sous-Bois,"48.9045925230382, 2.54818449113084","{""coordinates"": [2.54818449113084, 48.9045925230382], ""type"": ""Point""}",Clichy-sous-Bois
Clichy-sous-Bois,"48.9069433895646, 2.53529833688489","{""coordinates"": [2.53529833688489, 48.9069433895646], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - CIR W
Clichy-sous-Bois,"48.9046539342726, 2.55027782535593","{""coordinates"": [2.55027782535593, 48.9046539342726], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - TA
Clichy-sous-Bois,"48.90465770514, 2.55177826097294","{""coordinates"": [2.55177826097294, 48.90465770514], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - TX
Clichy-sous-Bois,"48.9069152637405, 2.53549838065872","{""coordinates"": [2.53549838065872, 48.9069152637405], ""type"": ""Point""}",
Clichy-sous-Bois,"48.9047825043114, 2.54840618873338","{""coordinates"": [2.54840618873338, 48.9047825043114], ""type"": ""Point""}",Clichy-sous-Bois - Workforce
Clichy-sous-Bois,"48.9023729876012, 2.54730851331881","{""coordinates"": [2.54730851331881, 48.9023729876012], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - DDS
Clichy-sous-Bois,"48.9046557650447, 2.55180728304314","{""coordinates"": [2.55180728304314, 48.9046557650447], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - ENG
Clichy-sous-Bois,"48.904649183017, 2.5516152358118","{""coordinates"": [2.5516152358118, 48.904649183017], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - PHP
Clichy-sous-Bois,"48.9022409299337, 2.5472402592223","{""coordinates"": [2.5472402592223, 48.9022409299337], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - TF
Clichy-sous-Bois,"48.9046492317276, 2.5498915866147","{""coordinates"": [2.5498915866147, 48.9046492317276], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - TA
Clichy-sous-Bois,"48.9046351282231, 2.54927646702052","{""coordinates"": [2.54927646702052, 48.9046351282231], ""type"": ""Point""}",Clichy-sous-Bois (CSB) - TA
Clichy-sous-Bois,"48.9073374407565, 2.53517552922996","{""coordinates"": [2.53517552922996, 48.9073374407565], ""type"": ""Point""}",Gymnase Armand Desmet
Club France - La Villette,"48.8895111437959, 2.38973982818098","{""coordinates"": [2.38973982818098, 48.8895111437959], ""type"": ""Point""}",Club France - La Villette PFR-navettes
Club Olympique,"48.8651089576, 2.3157565318377","{""coordinates"": [2.3157565318377, 48.8651089576], ""type"": ""Point""}",Club Olympique (OLC) - TX
Club Olympique,"48.8651076318698, 2.31589037699388","{""coordinates"": [2.31589037699388, 48.8651076318698], ""type"": ""Point""}",Club Olympique (OLC) - P2LZ
Club Olympique,"48.8650436202784, 2.31506013107346","{""coordinates"": [2.31506013107346, 48.8650436202784], ""type"": ""Point""}",
Club Olympique,"48.8651076754821, 2.31563510573208","{""coordinates"": [2.31563510573208, 48.8651076754821], ""type"": ""Point""}",Club Olympique (OLC) - PRT
Colline d'Elancourt,"48.7898797062925, 1.96304252779788","{""coordinates"": [1.96304252779788, 48.7898797062925], ""type"": ""Point""}",Colline d'Elancourt (ELA) - TA
Colline d'Elancourt,"48.7909020582603, 1.96661321337293","{""coordinates"": [1.96661321337293, 48.7909020582603], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PMR-Parking
Colline d'Elancourt,"48.791764019165, 1.96419831551378","{""coordinates"": [1.96419831551378, 48.791764019165], ""type"": ""Point""}",Colline d'Elancourt (ELA) - P2LZ
Colline d'Elancourt,"48.7918632717719, 1.96431938685452","{""coordinates"": [1.96431938685452, 48.7918632717719], ""type"": ""Point""}",Colline d'Elancourt (ELA) - TX
Colline d'Elancourt,"48.7916553329234, 1.96566345875902","{""coordinates"": [1.96566345875902, 48.7916553329234], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PMR-dépose-min
Colline d'Elancourt,"48.7916553329234, 1.96566345875902","{""coordinates"": [1.96566345875902, 48.7916553329234], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PSH-DEPOSE-MIN
Colline d'Elancourt,"48.7909020582603, 1.96661321337293","{""coordinates"": [1.96661321337293, 48.7909020582603], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PFR-PARKING
Colline d'Elancourt,"48.7964100031253, 1.97189477274598","{""coordinates"": [1.97189477274598, 48.7964100031253], ""type"": ""Point""}",Colline d'Elancourt (ELA) - OHE
Colline d'Elancourt,"48.791418619912, 1.96473662555791","{""coordinates"": [1.96473662555791, 48.791418619912], ""type"": ""Point""}",Colline d'Elancourt (ELA) - CIR W
Colline d'Elancourt,"48.7915206020419, 1.96695927136985","{""coordinates"": [1.96695927136985, 48.7915206020419], ""type"": ""Point""}",Colline d'Elancourt (ELA) - DDS
Colline d'Elancourt,"48.7899927569756, 1.97190657930377","{""coordinates"": [1.97190657930377, 48.7899927569756], ""type"": ""Point""}",Colline d'Elancourt (ELA) - TS
Colline d'Elancourt,"48.7954432099851, 1.97669388920072","{""coordinates"": [1.97669388920072, 48.7954432099851], ""type"": ""Point""}",Colline d'Elancourt (ELA) - CIR P
Colline d'Elancourt,"48.7914471529375, 1.96550847332136","{""coordinates"": [1.96550847332136, 48.7914471529375], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PFR-navettes
Colline d'Elancourt,"48.79204950752, 1.96450207761323","{""coordinates"": [1.96450207761323, 48.79204950752], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PHP
Colline d'Elancourt,"48.7919951197321, 1.96445675618179","{""coordinates"": [1.96445675618179, 48.7919951197321], ""type"": ""Point""}",Colline d'Elancourt (ELA) - ENG
Colline d'Elancourt,"48.7907215297336, 1.96394104430461","{""coordinates"": [1.96394104430461, 48.7907215297336], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PRT
Colline d'Elancourt,"48.7916479222875, 1.96652314738424","{""coordinates"": [1.96652314738424, 48.7916479222875], ""type"": ""Point""}",Colline d'Elancourt (ELA) - TF
Colline d'Elancourt,"48.7914498362117, 1.96720217941592","{""coordinates"": [1.96720217941592, 48.7914498362117], ""type"": ""Point""}",Colline d'Elancourt
Colline d'Elancourt,"48.7885589997267, 1.97438499973161","{""coordinates"": [1.97438499973161, 48.7885589997267], ""type"": ""Point""}",Colline d'Elancourt (ELA) - TAXI
Colline d'Elancourt,"48.7916829999979, 1.96472899975945","{""coordinates"": [1.96472899975945, 48.7916829999979], ""type"": ""Point""}",Colline d'Elancourt (ELA) - PSH TAXI
Colonel Fabien - Marriott,"48.9562842592316, 2.44495611649391","{""coordinates"": [2.44495611649391, 48.9562842592316], ""type"": ""Point""}",Colonel Fabien - Marriott
Comfort Aparthotel St-Cyr-l'Ecole,"48.8068350619759, 2.0511411256178","{""coordinates"": [2.0511411256178, 48.8068350619759], ""type"": ""Point""}",Comfort Aparthotel Versailles Saint-Cyr-l'Ecole (TF DDS Hotel) - TF
Comfort Aparthotel St-Cyr-l'Ecole,"48.8062743719094, 2.0531984432488","{""coordinates"": [2.0531984432488, 48.8062743719094], ""type"": ""Point""}",Comfort Aparthotel Versailles Saint-Cyr-l'Ecole (TF DDS Hotel) - DDS
Comfort Aparthotel St-Cyr-l'Ecole,"48.8063949159853, 2.05283052295286","{""coordinates"": [2.05283052295286, 48.8063949159853], ""type"": ""Point""}",Comfort Aparthotel Versailles Saint-Cyr-l'Ecole (TF DDS Hotel) - DDS
Complexe sportif de l'Ile-des-Vannes,"48.9204704206552, 2.32657911345433","{""coordinates"": [2.32657911345433, 48.9204704206552], ""type"": ""Point""}",Complexe sportif de l'Ile-des-Vannes (IDV) - TX
Complexe sportif de l'Ile-des-Vannes,"48.9187979298826, 2.32324827985672","{""coordinates"": [2.32324827985672, 48.9187979298826], ""type"": ""Point""}",Complexe sportif de l'Ile-des-Vannes (IDV) - TA
Complexe sportif de l'Ile-des-Vannes,"48.9204132405717, 2.32648802428451","{""coordinates"": [2.32648802428451, 48.9204132405717], ""type"": ""Point""}",Complexe sportif de l'Ile-des-Vannes (IDV) - P2LZ
Complexe sportif R.Tisserand,"45.7318514062717, 4.97563091919451","{""coordinates"": [4.97563091919451, 45.7318514062717], ""type"": ""Point""}",Complexe sportif R.Tisserand (RTI) - TA
Complexe sportif R.Tisserand,"45.7332578791938, 4.97424615720088","{""coordinates"": [4.97424615720088, 45.7332578791938], ""type"": ""Point""}",Complexe sportif R.Tisserand (RTI) - P2LZ
Complexe sportif R.Tisserand,"45.7332204351991, 4.97424436955346","{""coordinates"": [4.97424436955346, 45.7332204351991], ""type"": ""Point""}",Complexe sportif R.Tisserand (RTI) - TX
Concorde-Grd Palais-Pt Alex. III,"48.8650414834801, 2.31524307954363","{""coordinates"": [2.31524307954363, 48.8650414834801], ""type"": ""Point""}",
Courtyard by Marriott Prt de Versailles,"48.8297224632395, 2.28404346972961","{""coordinates"": [2.28404346972961, 48.8297224632395], ""type"": ""Point""}",Courtyard by Marriott Paris Porte de Versailles () - DDS
Courtyard by Marriott Prt de Versailles,"48.8299299320395, 2.28429157363129","{""coordinates"": [2.28429157363129, 48.8299299320395], ""type"": ""Point""}",Courtyard by Marriott Paris Porte de Versailles () - DDS
Courtyard by Marriott Prt de Versailles,"48.8300522057293, 2.28416551035252","{""coordinates"": [2.28416551035252, 48.8300522057293], ""type"": ""Point""}",Courtyard by Marriott Paris Porte de Versailles () - DDS
Courtyard by Marriott Prt de Versailles,"48.8293106129445, 2.28306580356148","{""coordinates"": [2.28306580356148, 48.8293106129445], ""type"": ""Point""}",Courtyard by Marriott Paris Porte de Versailles () - DDS
Courtyard by Marriott Prt de Versailles,"48.8296650782139, 2.28360761074701","{""coordinates"": [2.28360761074701, 48.8296650782139], ""type"": ""Point""}",Courtyard by Marriott Paris Porte de Versailles () - DDS
Dolce by Wyndham Versailles,"48.7696440473866, 2.17307414340614","{""coordinates"": [2.17307414340614, 48.7696440473866], ""type"": ""Point""}",Dolce by Wyndham Versailles
Eglise du Bourget - Kyriad,"48.9387907211417, 2.42944486323597","{""coordinates"": [2.42944486323597, 48.9387907211417], ""type"": ""Point""}",Eglise du Bourget - Kyriad
Eiffel,"48.8554701471699, 2.29431761931336","{""coordinates"": [2.29431761931336, 48.8554701471699], ""type"": ""Point""}",Eiffel (Eif) - PFR-navettes
Eiffel Champ-de-Mars,"48.8555444162771, 2.30104785760912","{""coordinates"": [2.30104785760912, 48.8555444162771], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - TA
Eiffel Champ-de-Mars,"48.8545237290476, 2.28891293235592","{""coordinates"": [2.28891293235592, 48.8545237290476], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF - TAXI
Eiffel Champ-de-Mars,"48.8513245363416, 2.30145560381488","{""coordinates"": [2.30145560381488, 48.8513245363416], ""type"": ""Point""}",Eiffel Champ-de-Mars - Marathon
Eiffel Champ-de-Mars,"48.8539906455311, 2.29790707013207","{""coordinates"": [2.29790707013207, 48.8539906455311], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - TF
Eiffel Champ-de-Mars,"48.8599930001273, 2.29695299967588","{""coordinates"": [2.29695299967588, 48.8599930001273], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - Taxi
Eiffel Champ-de-Mars,"48.8559210547934, 2.30137894518181","{""coordinates"": [2.30137894518181, 48.8559210547934], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - ENG
Eiffel Champ-de-Mars,"48.8549043749656, 2.29587838462734","{""coordinates"": [2.29587838462734, 48.8549043749656], ""type"": ""Point""}",Stade Tour Eiffel (EIF) ECM - PFR-PARKING
Eiffel Champ-de-Mars,"48.8522716172676, 2.30070453408393","{""coordinates"": [2.30070453408393, 48.8522716172676], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - CIR W
Eiffel Champ-de-Mars,"48.8503683142108, 2.30102739398694","{""coordinates"": [2.30102739398694, 48.8503683142108], ""type"": ""Point""}",Arena Champ-de-Mars (CDM) EIF - PFR-PARKING
Eiffel Champ-de-Mars,"48.8545012127188, 2.29710939947488","{""coordinates"": [2.29710939947488, 48.8545012127188], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - P2LZ
Eiffel Champ-de-Mars,"48.856160257225, 2.3010763045592","{""coordinates"": [2.3010763045592, 48.856160257225], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - CIR W
Eiffel Champ-de-Mars,"48.850640313861, 2.30183988818811","{""coordinates"": [2.30183988818811, 48.850640313861], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - PSH Taxi
Eiffel Champ-de-Mars,"48.8574915639459, 2.3002310320977","{""coordinates"": [2.3002310320977, 48.8574915639459], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - P2LZ
Eiffel Champ-de-Mars,"48.855292728936, 2.30242811095831","{""coordinates"": [2.30242811095831, 48.855292728936], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - DDS
Eiffel Champ-de-Mars,"48.852118112895, 2.3009713148587","{""coordinates"": [2.3009713148587, 48.852118112895], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - ENG
Eiffel Champ-de-Mars,"48.8507949997149, 2.30158700039149","{""coordinates"": [2.30158700039149, 48.8507949997149], ""type"": ""Point""}",Arena Champ-de-Mars (CDM) ECM - TAXI
Eiffel Champ-de-Mars,"48.8574837782768, 2.30021971602006","{""coordinates"": [2.30021971602006, 48.8574837782768], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - TX
Eiffel Champ-de-Mars,"48.8541476261686, 2.29959683498182","{""coordinates"": [2.29959683498182, 48.8541476261686], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - TA
Eiffel Champ-de-Mars,"48.8542923449532, 2.29747296365197","{""coordinates"": [2.29747296365197, 48.8542923449532], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - TX
Eiffel Champ-de-Mars,"48.8560558071107, 2.30121834168037","{""coordinates"": [2.30121834168037, 48.8560558071107], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - PHP
Eiffel Champ-de-Mars,"48.8549579222753, 2.30294808638749","{""coordinates"": [2.30294808638749, 48.8549579222753], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - TF
Eiffel Champ-de-Mars,"48.8543869603738, 2.29783381466355","{""coordinates"": [2.29783381466355, 48.8543869603738], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - PRT
Eiffel Champ-de-Mars,"48.8558211422777, 2.30160765355819","{""coordinates"": [2.30160765355819, 48.8558211422777], ""type"": ""Point""}",Eiffel Champ-de-Mars
Eiffel Champ-de-Mars,"48.8501319799975, 2.30106178598758","{""coordinates"": [2.30106178598758, 48.8501319799975], ""type"": ""Point""}",Arena Champ-de-Mars (CDM) ECM - PSH-DEPOSE-MIN
Eiffel Champ-de-Mars,"48.8524217578552, 2.30047056517324","{""coordinates"": [2.30047056517324, 48.8524217578552], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) EIF CDM - ENG
Eiffel Champ-de-Mars,"48.8555901664219, 2.30216541681956","{""coordinates"": [2.30216541681956, 48.8555901664219], ""type"": ""Point""}",Eiffel Champ-de-Mars (ECM) CDM EIF - SPS
Eiffel/Arena Champ-de-Mars,"48.8476490990391, 2.30158110025672","{""coordinates"": [2.30158110025672, 48.8476490990391], ""type"": ""Point""}",Arena Champ-de-Mars (CDM) ECM - TAXI
Eklo porte versailles,"48.8271390901072, 2.29106832969253","{""coordinates"": [2.29106832969253, 48.8271390901072], ""type"": ""Point""}",
Emile Zola - Javel - AND,"48.8462585790515, 2.28139555697058","{""coordinates"": [2.28139555697058, 48.8462585790515], ""type"": ""Point""}",Emile Zola - Javel
Esplanade Charles de Gaulle - AND,"48.8953952902694, 2.22240375894206","{""coordinates"": [2.22240375894206, 48.8953952902694], ""type"": ""Point""}",Esplanade Charles de Gaulle
Evergreen Laurel,"48.8984224111237, 2.28143292598807","{""coordinates"": [2.28143292598807, 48.8984224111237], ""type"": ""Point""}",Evergreen Laurel () - DDS
Floreal - AND,"48.900085285426, 2.31806934477644","{""coordinates"": [2.31806934477644, 48.900085285426], ""type"": ""Point""}",Floréal
Fritz Lang - Appart'City SQY,"48.8007636670513, 2.01160933816929","{""coordinates"": [2.01160933816929, 48.8007636670513], ""type"": ""Point""}",Fritz Lang - Appart'City SQY
Gare Bordeaux Saint-Jean,"44.8274141202019, -0.556348151241665","{""coordinates"": [-0.556348151241665, 44.8274141202019], ""type"": ""Point""}",Gare Bordeaux Saint-Jean (ZFQ) - TA
Gare Bordeaux Saint-Jean,"44.8274529217851, -0.556254216209011","{""coordinates"": [-0.556254216209011, 44.8274529217851], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Gare d'Austerlitz,"48.8429340640404, 2.36610304020467","{""coordinates"": [2.36610304020467, 48.8429340640404], ""type"": ""Point""}",Gare d'Austerlitz (GPA) - TX
Gare d'Austerlitz,"48.8431182728674, 2.3642715603933","{""coordinates"": [2.3642715603933, 48.8431182728674], ""type"": ""Point""}",Gare d'Austerlitz (GPA) - TA
Gare de Chateauroux,"46.8096693969698, 1.69860707907071","{""coordinates"": [1.69860707907071, 46.8096693969698], ""type"": ""Point""}",Gare de Châteauroux (GCH) - TA
Gare de Chateauroux,"46.8098861629657, 1.6990997726647","{""coordinates"": [1.6990997726647, 46.8098861629657], ""type"": ""Point""}",Gare de Châteauroux (GCH) - TX
Gare de Chateauroux,"46.8094657137043, 1.69836832303785","{""coordinates"": [1.69836832303785, 46.8094657137043], ""type"": ""Point""}",Gare de Châteauroux (GCH) - TC
Gare de Clichy - Levallois - AND,"48.8966396118906, 2.29830865100356","{""coordinates"": [2.29830865100356, 48.8966396118906], ""type"": ""Point""}",Gare de Clichy - Levallois
Gare de Lyon  1 Tr de l'Horloge,"48.844695330988, 2.37271105767071","{""coordinates"": [2.37271105767071, 48.844695330988], ""type"": ""Point""}",PARIS GARE DE LYON Hall 1 sortie Tour de l'Horloge PFR-navettes
Gare de Lyon - Diderot - AND,"48.8457418086667, 2.37386528239054","{""coordinates"": [2.37386528239054, 48.8457418086667], ""type"": ""Point""}",Gare de Lyon - Diderot
Gare de Nantes,"47.2159058926354, -1.5424261849963","{""coordinates"": [-1.5424261849963, 47.2159058926354], ""type"": ""Point""}",Gare de Nantes (QJZ) - TX
Gare de Nantes,"47.2158221217876, -1.54010168101091","{""coordinates"": [-1.54010168101091, 47.2158221217876], ""type"": ""Point""}",Stade de la Beaujoire (NAN) - TC
Gare de Nantes,"47.2174543337926, -1.54335744150189","{""coordinates"": [-1.54335744150189, 47.2174543337926], ""type"": ""Point""}",Gare de Nantes (QJZ) - TA
GARE DE PARIS BERCY Sortie Parking,"48.8387581405776, 2.38242218860645","{""coordinates"": [2.38242218860645, 48.8387581405776], ""type"": ""Point""}",GARE DE PARIS BERCY Sortie Parking Gare PFR-navettes
Gare de ROSA PARKS,"48.8961947570977, 2.37492982645952","{""coordinates"": [2.37492982645952, 48.8961947570977], ""type"": ""Point""}",Gare de ROSA PARKS PFR-navettes
Gare de Saint-Etienne,"45.4436424729989, 4.39714442557959","{""coordinates"": [4.39714442557959, 45.4436424729989], ""type"": ""Point""}",Gare de Saint-Etienne (GSE) - TX
Gare de Saint-Etienne,"45.4428400372693, 4.40097048422361","{""coordinates"": [4.40097048422361, 45.4428400372693], ""type"": ""Point""}",Venue_code_1 is unknown (TF LZ ) - TF
Gare de Saint-Etienne,"45.443000141113, 4.40053435215317","{""coordinates"": [4.40053435215317, 45.443000141113], ""type"": ""Point""}",Gare de Saint-Etienne (GSE) - TA
Gare de Saint-Etienne,"45.4427007920241, 4.39995436297484","{""coordinates"": [4.39995436297484, 45.4427007920241], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TC
Gare Le Bourget RER,"48.9310708080064, 2.42619837079167","{""coordinates"": [2.42619837079167, 48.9310708080064], ""type"": ""Point""}",Gare Le Bourget RER
Gare Le Bourget RER,"48.9312640535719, 2.42749745416844","{""coordinates"": [2.42749745416844, 48.9312640535719], ""type"": ""Point""}",Gare Le Bourget - Régulation
Gare Le Bourget RER,"48.9310633825743, 2.42613642027474","{""coordinates"": [2.42613642027474, 48.9310633825743], ""type"": ""Point""}",Gare Le Bourget RER
Gare Le Bourget RER,"48.9311471667842, 2.42584431958538","{""coordinates"": [2.42584431958538, 48.9311471667842], ""type"": ""Point""}",Gare Le Bourget - Régulation
Gare Lille Europe,"50.6397786811872, 3.07566655183341","{""coordinates"": [3.07566655183341, 50.6397786811872], ""type"": ""Point""}",Gare Lille Europe (XDB) - TA
Gare Lille Europe,"50.6396289889747, 3.07644081606502","{""coordinates"": [3.07644081606502, 50.6396289889747], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Gare Lille Flandres,"50.6353739132279, 3.07079565459757","{""coordinates"": [3.07079565459757, 50.6353739132279], ""type"": ""Point""}",Gare Lille Flandres (GLF) - TX
Gare Lille Flandres,"50.6353492169982, 3.07105796984707","{""coordinates"": [3.07105796984707, 50.6353492169982], ""type"": ""Point""}",Gare Lille Europe (XDB) - TA
Gare Lille Flandres,"50.6351707627796, 3.07142794997999","{""coordinates"": [3.07142794997999, 50.6351707627796], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TC
Gare Lille Flandres,"50.6351859440831, 3.07138920474345","{""coordinates"": [3.07138920474345, 50.6351859440831], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - DDS
Gare Lyon Part Dieu,"45.7614565088948, 4.85953604481174","{""coordinates"": [4.85953604481174, 45.7614565088948], ""type"": ""Point""}","TA LZ ""équipe sensible"""
Gare Lyon Part Dieu,"45.7605005071893, 4.86254024378547","{""coordinates"": [4.86254024378547, 45.7605005071893], ""type"": ""Point""}",Stade de Lyon (LYO) - TC
Gare Lyon Part Dieu,"45.760753517018, 4.86164719712049","{""coordinates"": [4.86164719712049, 45.760753517018], ""type"": ""Point""}",Gare Lyon Part Dieu (XYD) - TX
Gare Lyon Part Dieu,"45.7599278852687, 4.86151275884834","{""coordinates"": [4.86151275884834, 45.7599278852687], ""type"": ""Point""}","Dépose TA gare  ""non sensible"" TA"
Gare Marseille Saint Charles,"43.3024541433756, 5.38212481687173","{""coordinates"": [5.38212481687173, 43.3024541433756], ""type"": ""Point""}",Gare Marseille Saint Charles (XRF) - TA
Gare Marseille Saint Charles,"43.3037460271523, 5.37991409080527","{""coordinates"": [5.37991409080527, 43.3037460271523], ""type"": ""Point""}",Gare Marseille Saint Charles (XRF) MRS - TC
Gare Marseille Saint Charles,"43.3024105387017, 5.38105268566496","{""coordinates"": [5.38105268566496, 43.3024105387017], ""type"": ""Point""}",Gare Marseille Saint Charles (XRF) - TX
Gare Montparnasse - Night 1,"48.8418427980546, 2.32041440056253","{""coordinates"": [2.32041440056253, 48.8418427980546], ""type"": ""Point""}",Gare Montparnasse - Night 1
Gare Montparnasse - Night 2,"48.8420475680232, 2.31984577327589","{""coordinates"": [2.31984577327589, 48.8420475680232], ""type"": ""Point""}",Gare Montparnasse - Night 2
Gare routiÃ¨re de Torcy,"48.8389189593088, 2.65441647773835","{""coordinates"": [2.65441647773835, 48.8389189593088], ""type"": ""Point""}",Gare routière de Torcy - Quai de régulation
Gare routiÃ¨re de Torcy,"48.8389957529125, 2.65425956851102","{""coordinates"": [2.65425956851102, 48.8389957529125], ""type"": ""Point""}",Gare de Torcy - Réserve
Gare routiÃ¨re Porte Maillot,"48.8805562048814, 2.28301674566549","{""coordinates"": [2.28301674566549, 48.8805562048814], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8807561135038, 2.28324562741675","{""coordinates"": [2.28324562741675, 48.8807561135038], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8802922089357, 2.28301049608608","{""coordinates"": [2.28301049608608, 48.8802922089357], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8815071515382, 2.28367007779524","{""coordinates"": [2.28367007779524, 48.8815071515382], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.880476240736, 2.2824731517309","{""coordinates"": [2.2824731517309, 48.880476240736], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8808313730065, 2.28278428772112","{""coordinates"": [2.28278428772112, 48.8808313730065], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8806479273641, 2.28263050782256","{""coordinates"": [2.28263050782256, 48.8806479273641], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8806191201826, 2.28343607385023","{""coordinates"": [2.28343607385023, 48.8806191201826], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8803045535186, 2.2823479813775","{""coordinates"": [2.2823479813775, 48.8803045535186], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8800740686171, 2.28332072926946","{""coordinates"": [2.28332072926946, 48.8800740686171], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8804874149766, 2.28325725970137","{""coordinates"": [2.28325725970137, 48.8804874149766], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.8802180409442, 2.28350618106994","{""coordinates"": [2.28350618106994, 48.8802180409442], ""type"": ""Point""}",Porte Maillot - Gare routière
Gare routiÃ¨re Porte Maillot,"48.879937364676, 2.28312582270055","{""coordinates"": [2.28312582270055, 48.879937364676], ""type"": ""Point""}",Porte Maillot - Gare routière
